83363,82442,1495
157572,156597,1665
157572,159232,815
157572,161184,954
236482,235862,1165
236482,239268,1842
259155,212370,1439
259155,260814,895
280749,233969,1659
280749,238757,1287
299085,252556,1496
299085,254787,820
299085,256338,1359
368435,321653,1427
412635,276526,1723
412635,368159,610
412635,369795,972
490423,354253,1736
490423,358831,1730
538193,402506,1226
538193,404255,740
611218,328730,1386
611218,478488,791
694879,412456,1562
694879,414730,637
694879,415939,1669
789990,507553,1517
848176,448671,1565
848176,567895,568
848176,570384,568
916863,380074,1544
916863,522007,808
983052,313634,1729
983052,448106,822
1057825,388446,1817
1057825,391766,601
1152524,483118,1678
1152524,485859,764
1152524,486255,1979
1181137,453709,1309
1244468,517037,1302
1244468,519788,741
1244468,520660,627
1276194,548593,1953
1276194,552408,1090
1296037,527751,1819
1296037,571336,783
1319927,551879,1293
1319927,556545,1511
1383851,487021,1574
1383851,617688,924
1383851,619418,614
1394006,497535,1439
1431473,534968,1411
1431473,537514,847
1431473,539457,899
1498256,601646,1689
1498256,606337,1108
1596804,502202,1837
1596804,702875,681
1683765,589283,1438
1683765,592635,709
1740394,532011,1437
1740394,648243,796
1740394,649521,682
1787982,579689,1114
1839724,631081,1498
1839724,633783,793
1839724,634949,1729
1859889,610332,1250
1859889,655434,1215
1896873,647391,1474
1896873,649001,509
1962235,581031,1989
1962235,717213,656
1972738,591718,1407
1972738,593883,692
1972738,596040,1677
2030841,649779,1762
2070728,689566,1503
2070728,692446,579
2070728,693844,1252
2135983,623431,1676
2135983,758950,890
2209058,550254,1809
2209058,698788,623
2299843,641139,1716
2299843,645823,1354
2373775,566483,1475
2373775,716982,515
2373775,718440,1473
2412837,605643,1397
2484162,677032,1396
2484162,678697,780
2484162,679931,1446
2541673,618901,1295
2541673,738613,1914
2560351,600075,1694
2560351,639761,568
2655731,695434,1781
2655731,699346,1984
2697770,737323,1902
2697770,739381,915
2697770,741914,1433
2771016,810855,1351
2866219,715026,1403
2866219,908275,918
2866219,910224,1715
2926091,774698,1602
2926091,777995,1043
2950467,798943,1919
2950467,801082,990
2965288,783524,1228
2965288,818060,1583
3033533,851531,1344
3033533,853467,641
3033533,854654,719
3120028,938278,1399
3144171,962093,1444
3144171,964780,543
3144171,965829,1126
3186177,919430,1450
3186177,1008008,636
3199414,932615,1308
3199414,935164,831
3295237,1028374,1594
3295237,1031441,1804
3382403,1115594,1244
3382403,1118030,875
3382403,1119861,1166
3445423,1051777,1374
3491331,1005891,1352
3491331,1100465,831
3491331,1101880,1977
3510075,1024817,1255
3510075,1029367,1079
3555348,978879,1401
3555348,1072386,720
3637546,1060803,1835
3637546,1065445,661
3707432,990039,1808
3707432,1133039,692
3707432,1135295,914
3721899,975662,1344
3754921,942656,1332
3754921,1011251,547
3754921,1013337,1033
3843005,1030747,1453
3843005,1034648,1072
3891703,981537,1201
3891703,1082126,810
3913773,1003441,1224
3913773,1006722,834
3983832,932702,1306
3983832,1075691,679
3983832,1078101,1955
4057942,1006525,1471
4125076,1073769,1811
4125076,1075832,642
4125076,1078001,1800
4162929,1111848,1385
4162929,1115899,1232
4175908,1098148,1266
4175908,1126860,521
4275483,1197778,1331
4275483,1201182,1254
4306680,1165727,1508
4306680,1231036,864
4306680,1232641,1204
4378680,1237820,1694
4441620,1174269,1391
4441620,1302639,896
4441620,1304824,1970
4455936,1188410,1692
4455936,1191649,1132
4525241,1118153,1808
4525241,1259886,822
4611258,1204231,1600
4611258,1207330,1365
4694907,1288011,1560
4694907,1290356,545
4694907,1292741,1810
4714048,1307115,1712
4779617,1240616,1686
4779617,1374758,953
4779617,1377352,637
4806374,1267698,1267
4806374,1271898,1755
4887514,1348684,1310
4887514,1350986,948
4968525,1429787,1632
4968525,1434149,1705
5042463,1355281,1467
