27,1,11
51,1,9
51,43,8
73,1,10
84,1,14
84,29,4
108,1,8
124,10,16
124,30,7
143,27,15
171,58,13
171,75,7
192,28,18
205,47,10
205,66,5
229,68,10
242,81,16
242,114,6
255,63,10
276,85,12
276,118,9
290,97,16
317,61,16
317,148,4
328,78,8
342,93,9
342,122,6
365,61,13
375,71,16
375,93,9
403,99,16
421,124,7
421,139,5
445,92,15
465,114,11
465,138,5
479,125,16
498,149,13
498,174,4
525,117,11
553,148,12
553,162,5
567,160,10
586,175,18
586,211,9
604,154,9
620,168,10
620,193,7
647,195,14
675,219,19
675,253,9
687,204,10
706,219,12
706,244,7
726,240,16
753,271,5
753,300,4
781,240,6
809,206,16
809,296,4
832,231,12
854,206,10
854,286,5
870,217,15
881,228,16
881,246,6
894,243,9
923,212,11
923,306,5
945,232,11
957,214,16
957,260,6
968,205,14
993,225,17
993,244,4
1006,240,15
1034,272,7
1034,298,7
1055,242,18
1079,219,14
1079,295,5
1094,207,10
1117,226,16
1117,250,5
1134,243,17
1149,222,12
1149,287,7
1166,202,12
1177,217,11
1177,249,6
1203,243,13
1220,223,7
1220,287,9
1241,242,15
1262,261,15
1262,288,3
1280,241,7
1298,258,6
1298,282,5
1322,125,113
